Time[msec],Time[Ticks],GazeX,GazeY,Diameter,LCalib,LFound,LX,LY,LD,RCalib,RFound,RX,RY,RD,Lost
15.625,634256135241718750,-9999,-9999,2.8,1,0,670,823,2.8,1,0,671,825,2.8,True
46.875,634256135242031250,670,788,2.8,1,1,670,810,2.8,1,1,671,766,2.8,False
62.5,634256135242187500,-9999,-9999,2.8,1,0,670,810,2.8,1,1,671,762,2.8,True
78.125,634256135242343750,670,770,2.8,1,1,670,783,2.8,1,1,671,758,2.8,False
109.375,634256135242656250,-9999,-9999,2.8,1,0,670,783,2.8,1,1,612,758,2.8,True
125,634256135242812500,470,736,2.8,1,1,470,736,2.8,1,1,470,736,2.8,False
140.625,634256135242968750,-9999,-9999,2.8,1,1,224,671,2.8,1,0,470,736,2.8,True
171.875,634256135243281250,221,656,2.8,1,1,219,642,2.8,1,1,224,671,2.8,False
187.5,634256135243437500,-9999,-9999,2.8,1,0,219,642,2.8,1,1,218,664,2.8,True
203.125,634256135243593750,-9999,-9999,2.8,1,1,218,639,2.8,1,0,218,664,2.8,True
234.375,634256135243906250,-9999,-9999,2.8,1,1,217,635,2.8,1,0,218,664,2.8,True
250,634256135244062500,-9999,-9999,2.8,1,1,217,635,2.8,1,0,218,664,2.8,True
265.625,634256135244218750,215,635,2.8,1,1,215,634,2.8,1,1,215,636,2.8,False
296.875,634256135244531250,215,634,2.8,1,1,215,634,2.8,1,1,215,635,2.8,False
312.5,634256135244687500,-9999,-9999,2.8,1,0,215,634,2.8,1,1,215,634,2.8,True
328.125,634256135244843750,-9999,-9999,2.8,1,0,215,634,2.8,1,1,192,602,2.8,True
359.375,634256135245156250,189,581,2.8,1,1,189,581,2.8,1,1,189,581,2.8,False
375,634256135245312500,-9999,-9999,2.8,1,0,189,581,2.8,1,1,98,494,2.8,True
390.625,634256135245468750,99,505,2.5,1,1,102,517,2.2,1,1,96,494,2.8,False
421.875,634256135245781250,95,497,2.5,1,1,98,504,2.2,1,1,92,490,2.8,False
437.5,634256135245937500,-9999,-9999,2.5,1,1,98,494,2.2,1,0,92,490,2.8,True
453.125,634256135246093750,91,489,2.5,1,1,93,489,2.2,1,1,90,489,2.8,False
484.375,634256135246406250,87,487,2.2,1,1,91,488,2.2,1,1,84,486,2.2,False
500,634256135246562500,87,484,2.2,1,1,90,486,2.2,1,1,84,482,2.2,False
515.625,634256135246718750,85,481,2.5,1,1,90,484,2.2,1,1,80,478,2.8,False
546.875,634256135247031250,85,483,2.5,1,1,91,486,2.2,1,1,80,480,2.8,False
562.5,634256135247187500,85,482,2.2,1,1,90,484,2.2,1,1,80,480,2.2,False
578.125,634256135247343750,81,478,2.2,1,1,88,479,2.2,1,1,74,478,2.2,False
609.375,634256135247656250,81,472,2.2,1,1,88,470,2.2,1,1,74,474,2.2,False
625,634256135247812500,79,460,2.5,1,1,88,460,2.2,1,1,71,460,2.8,False
640.625,634256135247968750,79,447,2.2,1,1,88,460,2.2,1,1,71,435,2.2,False
