Time[msec],Time[Ticks],GazeX,GazeY,Diameter,LCalib,LFound,LX,LY,LD,RCalib,RFound,RX,RY,RD,Lost
31.25,634254318339252500,432,431,2.8,1,1,460,424,2.8,1,1,404,439,2.8,False
46.875,634254318339408750,433,431,3.1,1,1,462,424,3.4,1,1,404,439,2.8,False
62.5,634254318339565000,433,427,2.8,1,1,462,416,2.8,1,1,404,438,2.8,False
109.375,634254318340033750,433,419,2.8,1,1,462,413,2.8,1,1,404,426,2.8,False
125,634254318340190000,433,425,2.8,1,1,462,416,2.8,1,1,404,434,2.8,False
125,634254318340190000,433,427,2.8,1,1,462,416,2.8,1,1,404,438,2.8,False
156.25,634254318340502500,433,430,2.8,1,1,462,424,2.8,1,1,405,436,2.8,False
171.875,634254318340658750,433,430,2.8,1,1,462,424,2.8,1,1,405,436,2.8,False
187.5,634254318340815000,436,430,2.8,1,1,467,425,2.8,1,1,405,436,2.8,False
203.125,634254318340971250,441,430,2.8,1,1,476,425,2.8,1,1,407,436,2.8,False
234.375,634254318341283750,516,430,2.8,1,1,541,425,2.8,1,1,492,436,2.8,False
250,634254318341440000,558,430,2.8,1,1,591,424,2.8,1,1,525,436,2.8,False
265.625,634254318341596250,-9999,-9999,2.8,1,1,594,425,2.8,1,0,525,436,2.8,True
296.875,634254318341908750,561,435,2.8,1,1,594,430,2.8,1,1,528,440,2.8,False
312.5,634254318342065000,561,439,2.8,1,1,594,432,2.8,1,1,528,446,2.8,False
328.125,634254318342221250,561,441,2.8,1,1,594,436,2.8,1,1,528,446,2.8,False
359.375,634254318342533750,562,443,2.8,1,1,595,440,2.8,1,1,529,446,2.8,False
375,634254318342690000,561,442,2.8,1,1,594,441,2.8,1,1,529,444,2.8,False
390.625,634254318342846250,561,442,2.8,1,1,594,441,2.8,1,1,529,444,2.8,False
421.875,634254318343158750,561,447,2.8,1,1,594,448,2.8,1,1,529,447,2.8,False
437.5,634254318343315000,562,449,2.8,1,1,594,448,2.8,1,1,530,451,2.8,False
453.125,634254318343471250,565,456,2.8,1,1,595,453,2.8,1,1,535,460,2.8,False
484.375,634254318343783750,565,458,2.8,1,1,595,454,2.8,1,1,535,463,2.8,False
500,634254318343940000,629,525,2.8,1,1,679,505,2.8,1,1,579,545,2.8,False
515.625,634254318344096250,653,546,2.8,1,1,704,531,2.8,1,1,602,562,2.8,False
546.875,634254318344408750,655,549,2.8,1,1,706,531,2.8,1,1,604,567,2.8,False
562.5,634254318344565000,655,550,2.8,1,1,706,533,2.8,1,1,604,568,2.8,False
578.125,634254318344721250,657,551,2.8,1,1,706,535,2.8,1,1,608,568,2.8,False
609.375,634254318345033750,657,553,2.8,1,1,706,535,2.8,1,1,608,572,2.8,False
625,634254318345190000,657,554,2.8,1,1,706,535,2.8,1,1,608,573,2.8,False
640.625,634254318345346250,657,555,2.8,1,1,707,535,2.8,1,1,608,575,2.8,False
671.875,634254318345658750,655,554,3.1,1,1,707,533,2.8,1,1,604,575,3.4,False
687.5,634254318345815000,655,554,2.8,1,1,707,533,2.8,1,1,604,575,2.8,False
703.125,634254318345971250,655,553,2.8,1,1,707,532,2.8,1,1,604,575,2.8,False
734.375,634254318346283750,658,555,2.8,1,1,708,533,2.8,1,1,609,577,2.8,False
750,634254318346440000,656,556,2.8,1,1,708,536,2.8,1,1,604,577,2.8,False
765.625,634254318346596250,655,556,2.8,1,1,707,536,2.8,1,1,603,577,2.8,False
781.25,634254318346752500,654,560,2.8,1,1,707,536,2.8,1,1,601,584,2.8,False
812.5,634254318347065000,-9999,-9999,2.8,1,1,707,537,2.8,1,0,601,584,2.8,True
828.125,634254318347221250,655,580,2.8,1,1,707,562,2.8,1,1,603,599,2.8,False
859.375,634254318347533750,631,598,2.8,1,1,659,574,2.8,1,1,603,622,2.8,False
875,634254318347690000,612,600,3.1,1,1,658,578,2.8,1,1,566,622,3.4,False
890.625,634254318347846250,611,607,2.8,1,1,658,589,2.8,1,1,564,625,2.8,False
921.875,634254318348158750,611,612,2.8,1,1,658,598,2.8,1,1,564,627,2.8,False
937.5,634254318348315000,607,621,2.8,1,1,658,605,2.8,1,1,557,638,2.8,False
953.125,634254318348471250,608,625,2.8,1,1,659,608,2.8,1,1,557,643,2.8,False
984.375,634254318348783750,615,661,3.1,1,1,672,658,2.8,1,1,559,664,3.4,False
1000,634254318348940000,-9999,-9999,3.1,1,1,680,712,2.8,1,0,559,664,3.4,True
1015.625,634254318349096250,620,698,3.1,1,1,681,713,2.8,1,1,559,684,3.4,False
1046.875,634254318349408750,-9999,-9999,3.1,1,1,685,715,2.8,1,0,559,684,3.4,True
1062.5,634254318349565000,-9999,-9999,3.1,1,1,685,718,2.8,1,0,559,684,3.4,True
1078.125,634254318349721250,-9999,-9999,3.1,1,1,686,718,2.8,1,0,559,684,3.4,True
1109.375,634254318350033750,625,718,3.1,1,1,687,718,2.8,1,1,564,718,3.4,False
1125,634254318350190000,626,718,3.1,1,1,687,718,2.8,1,1,566,718,3.4,False
1140.625,634254318350346250,626,716,3.1,1,1,687,715,2.8,1,1,566,718,3.4,False
1156.25,634254318350502500,687,718,2.8,1,1,688,718,2.8,1,1,687,718,2.8,False
1187.5,634254318350815000,688,721,3.1,1,1,689,721,2.8,1,1,687,721,3.4,False
1203.125,634254318350971250,672,720,3.1,1,1,689,718,2.8,1,1,656,722,3.4,False
1234.375,634254318351283750,678,713,3.1,1,1,689,709,2.8,1,1,667,718,3.4,False
1250,634254318351440000,719,715,3.1,1,1,776,709,2.8,1,1,663,722,3.4,False
1265.625,634254318351596250,721,719,2.8,1,1,787,709,2.8,1,1,656,729,2.8,False
1296.875,634254318351908750,721,719,2.8,1,1,787,709,2.8,1,1,656,729,2.8,False
1312.5,634254318352065000,725,720,3.1,1,1,787,712,2.8,1,1,663,729,3.4,False
1328.125,634254318352221250,725,733,3.1,1,1,787,727,2.8,1,1,663,740,3.4,False
1359.375,634254318352533750,725,733,2.8,1,1,788,727,2.8,1,1,663,740,2.8,False
1375,634254318352690000,726,726,2.8,1,1,789,712,2.8,1,1,663,740,2.8,False
1390.625,634254318352846250,727,720,3.1,1,1,788,712,2.8,1,1,667,729,3.4,False
1421.875,634254318353158750,730,710,3.1,1,1,788,712,2.8,1,1,672,709,3.4,False
1437.5,634254318353315000,730,719,2.8,1,1,788,712,2.8,1,1,672,726,2.8,False
1453.125,634254318353471250,731,708,3.1,1,1,789,707,2.8,1,1,673,709,3.4,False
1484.375,634254318353783750,732,706,3.1,1,1,791,703,2.8,1,1,673,709,3.4,False
1500,634254318353940000,732,709,2.8,1,1,792,703,2.8,1,1,673,715,2.8,False
