Time[msec],Time[Ticks],GazeX,GazeY,Diameter,LCalib,LFound,LX,LY,LD,RCalib,RFound,RX,RY,RD,Lost
31.25,634255300223593750,1279,630,4.3,1,1,1367,622,4.6,1,1,1332,639,4,False
46.875,634255300223750000,1279,620,4.3,1,1,1365,605,4.6,1,1,1329,635,4,False
62.5,634255300223906250,1279,561,4.3,1,1,1340,537,4.6,1,1,1294,586,4,False
78.125,634255300224062500,1279,547,4,1,1,1340,531,4.6,1,1,1282,564,3.4,False
109.375,634255300224375000,1279,545,4,1,1,1340,529,4.6,1,1,1281,561,3.4,False
125,634255300224531250,1279,542,4.3,1,1,1335,526,4.6,1,1,1281,559,4,False
140.625,634255300224687500,1279,540,4.3,1,1,1335,522,4.6,1,1,1277,558,4,False
171.875,634255300225000000,1279,538,4.3,1,1,1329,521,4.6,1,1,1275,555,4,False
187.5,634255300225156250,1279,537,4.3,1,1,1321,521,4.6,1,1,1262,553,4,False
203.125,634255300225312500,1279,532,4.3,1,1,1318,522,4.6,1,1,1241,542,4,False
234.375,634255300225625000,1214,520,4.3,1,1,1235,522,4.6,1,1,1193,519,4,False
250,634255300225781250,699,493,4.3,1,1,697,522,4.6,1,1,701,465,4,False
265.625,634255300225937500,391,490,4.3,1,1,419,522,4.6,1,1,364,458,4,False
296.875,634255300226250000,384,489,4.3,1,1,415,522,4.6,1,1,353,457,4,False
312.5,634255300226406250,384,487,4.3,1,1,415,523,4.6,1,1,353,452,4,False
328.125,634255300226562500,384,487,4.3,1,1,415,527,4.6,1,1,353,448,4,False
359.375,634255300226875000,383,488,4.3,1,1,415,529,4.6,1,1,352,448,4,False
375,634255300227031250,385,486,4.6,1,1,418,529,4.6,1,1,352,443,4.6,False
390.625,634255300227187500,386,486,4.3,1,1,419,529,4.6,1,1,353,443,4,False
421.875,634255300227500000,390,492,4.3,1,1,426,537,4.6,1,1,355,448,4,False
437.5,634255300227656250,397,494,4.3,1,1,434,537,4.6,1,1,361,452,4,False
468.75,634255300227968750,451,495,4.3,1,1,467,535,4.6,1,1,435,455,4,False
484.375,634255300228125000,830,498,4.3,1,1,835,531,4.6,1,1,825,465,4,False
500,634255300228281250,1023,526,4.3,1,1,1040,535,4.6,1,1,1007,518,4,False
515.625,634255300228437500,1023,527,4.3,1,1,1040,535,4.6,1,1,1007,520,4,False
546.875,634255300228750000,1028,527,4.3,1,1,1041,534,4.6,1,1,1015,520,4,False
562.5,634255300228906250,1028,526,4.3,1,1,1041,532,4.6,1,1,1015,520,4,False
578.125,634255300229062500,1032,527,4.6,1,1,1041,534,4.6,1,1,1023,520,4.6,False
609.375,634255300229375000,-9999,-9999,4.6,1,0,1041,534,4.6,1,0,1023,520,4.6,True
625,634255300229531250,-9999,-9999,4.6,1,0,1041,534,4.6,1,0,1023,520,4.6,True
640.625,634255300229687500,-9999,-9999,4.6,1,0,1041,534,4.6,1,0,1023,520,4.6,True
671.875,634255300230000000,-9999,-9999,4.6,1,0,1041,534,4.6,1,0,1023,520,4.6,True
687.5,634255300230156250,-9999,-9999,4.6,1,1,1048,534,4.6,1,0,1023,520,4.6,True
703.125,634255300230312500,-9999,-9999,4.6,1,1,1048,532,4.6,1,0,1023,520,4.6,True
734.375,634255300230625000,-9999,-9999,4.6,1,1,1048,531,4.6,1,0,1023,520,4.6,True
750,634255300230781250,1037,524,4.3,1,1,1048,530,4.6,1,1,1027,518,4,False
765.625,634255300230937500,1047,524,4.3,1,1,1052,530,4.6,1,1,1043,518,4,False
796.875,634255300231250000,1049,511,4.3,1,1,1054,520,4.6,1,1,1044,503,4,False
812.5,634255300231406250,1059,510,4.3,1,1,1073,519,4.6,1,1,1046,502,4,False
828.125,634255300231562500,1060,510,4.3,1,1,1073,519,4.6,1,1,1048,501,4,False
859.375,634255300231875000,1061,509,4.3,1,1,1073,517,4.6,1,1,1050,501,4,False
875,634255300232031250,1061,509,4.3,1,1,1073,517,4.6,1,1,1050,502,4,False
890.625,634255300232187500,1055,509,4.6,1,1,1063,517,4.6,1,1,1048,502,4.6,False
921.875,634255300232500000,1054,510,4.6,1,1,1063,519,4.6,1,1,1046,501,4.6,False
937.5,634255300232656250,1053,510,4.6,1,1,1063,519,4.6,1,1,1044,502,4.6,False
953.125,634255300232812500,1051,511,4.6,1,1,1060,520,4.6,1,1,1043,502,4.6,False
984.375,634255300233125000,959,509,4.6,1,1,961,521,4.6,1,1,957,498,4.6,False
1000,634255300233281250,533,511,4.6,1,1,522,521,4.6,1,1,544,502,4.6,False
1015.625,634255300233437500,353,512,4.6,1,1,371,521,4.6,1,1,335,503,4.6,False
1046.875,634255300233750000,352,510,4.6,1,1,370,517,4.6,1,1,335,503,4.6,False
1062.5,634255300233906250,351,504,4.6,1,1,368,505,4.6,1,1,335,503,4.6,False
1078.125,634255300234062500,351,504,4.6,1,1,368,505,4.6,1,1,334,503,4.6,False
1109.375,634255300234375000,351,512,4.6,1,1,368,521,4.6,1,1,334,503,4.6,False
1125,634255300234531250,351,504,4.6,1,1,368,505,4.6,1,1,335,504,4.6,False
1140.625,634255300234687500,352,501,4.6,1,1,370,499,4.6,1,1,335,504,4.6,False
1171.875,634255300235000000,353,501,4.3,1,1,371,499,4.6,1,1,335,504,4,False
1187.5,634255300235156250,-9999,-9999,4.3,1,1,377,497,4.6,1,0,335,504,4,True
1203.125,634255300235312500,358,501,4.3,1,1,377,499,4.6,1,1,340,504,4,False
1234.375,634255300235625000,358,526,4.3,1,1,377,548,4.6,1,1,340,504,4,False
1250,634255300235781250,359,525,4.6,1,1,379,548,4.6,1,1,340,502,4.6,False
1265.625,634255300235937500,359,525,4.6,1,1,379,548,4.6,1,1,340,502,4.6,False
1296.875,634255300236250000,358,512,4.3,1,1,377,527,4.6,1,1,340,497,4,False
1312.5,634255300236406250,358,503,4.3,1,1,376,513,4.6,1,1,340,493,4,False
1328.125,634255300236562500,355,498,4.6,1,1,376,513,4.6,1,1,334,483,4.6,False
1359.375,634255300236875000,338,485,4.6,1,1,343,513,4.6,1,1,334,458,4.6,False
1375,634255300237031250,273,478,4.6,1,1,294,499,4.6,1,1,252,458,4.6,False
1390.625,634255300237187500,240,451,4.6,1,1,265,499,4.6,1,1,215,404,4.6,False
1421.875,634255300237500000,239,442,4.6,1,1,263,481,4.6,1,1,215,404,4.6,False
1437.5,634255300237656250,236,434,4.3,1,1,258,470,4.6,1,1,215,398,4,False
