Time[msec],Time[Ticks],GazeX,GazeY,Diameter,LCalib,LFound,LX,LY,LD,RCalib,RFound,RX,RY,RD,Lost
31.25,634268249195312500,387,421,2.8,1,1,383,468,2.8,1,1,392,374,2.8,False
46.875,634268249195468750,387,406,2.8,1,1,382,462,2.8,1,1,392,351,2.8,False
62.5,634268249195625000,386,413,2.8,1,1,381,452,2.8,1,1,392,374,2.8,False
78.125,634268249195781250,386,412,2.8,1,1,381,452,2.8,1,1,392,373,2.8,False
109.375,634268249196093750,386,412,2.8,1,1,381,452,2.8,1,1,392,373,2.8,False
125,634268249196250000,386,412,2.8,1,1,381,452,2.8,1,1,392,373,2.8,False
140.625,634268249196406250,387,408,2.8,1,1,382,444,2.8,1,1,392,373,2.8,False
171.875,634268249196718750,388,407,2.8,1,1,382,444,2.8,1,1,395,371,2.8,False
187.5,634268249196875000,388,407,2.8,1,1,382,444,2.8,1,1,395,371,2.8,False
203.125,634268249197031250,389,400,2.8,1,1,383,429,2.8,1,1,395,371,2.8,False
234.375,634268249197343750,388,400,2.8,1,1,382,429,2.8,1,1,395,371,2.8,False
250,634268249197500000,386,401,2.8,1,1,381,429,2.8,1,1,392,373,2.8,False
265.625,634268249197656250,385,408,2.8,1,1,381,444,2.8,1,1,389,373,2.8,False
296.875,634268249197968750,384,408,2.8,1,1,381,444,2.8,1,1,388,373,2.8,False
312.5,634268249198125000,375,413,2.8,1,1,367,446,2.8,1,1,384,380,2.8,False
328.125,634268249198281250,345,422,2.8,1,1,342,456,2.8,1,1,348,388,2.8,False
359.375,634268249198593750,230,425,2.8,1,1,241,456,2.8,1,1,219,395,2.8,False
375,634268249198750000,226,427,2.8,1,1,234,456,2.8,1,1,219,399,2.8,False
390.625,634268249198906250,223,427,2.8,1,1,229,456,2.8,1,1,217,399,2.8,False
421.875,634268249199218750,218,427,2.8,1,1,222,456,2.8,1,1,214,399,2.8,False
437.5,634268249199375000,217,432,2.8,1,1,222,459,2.8,1,1,213,406,2.8,False
453.125,634268249199531250,216,431,2.8,1,1,219,456,2.8,1,1,213,406,2.8,False
484.375,634268249199843750,215,431,2.8,1,1,218,456,2.8,1,1,213,406,2.8,False
500,634268249200000000,215,432,2.8,1,1,218,452,2.8,1,1,213,413,2.8,False
515.625,634268249200156250,215,432,2.8,1,1,217,452,2.8,1,1,213,413,2.8,False
546.875,634268249200468750,215,432,2.8,1,1,217,452,2.8,1,1,213,413,2.8,False
562.5,634268249200625000,215,435,2.8,1,1,217,454,2.8,1,1,213,416,2.8,False
578.125,634268249200781250,212,444,2.8,1,1,212,467,2.8,1,1,213,421,2.8,False
609.375,634268249201093750,206,463,2.8,1,1,202,470,2.8,1,1,210,456,2.8,False
625,634268249201250000,145,464,2.8,1,1,151,471,2.8,1,1,140,457,2.8,False
640.625,634268249201406250,135,469,2.8,1,1,141,471,2.8,1,1,129,467,2.8,False
671.875,634268249201718750,135,476,2.8,1,1,141,474,2.8,1,1,129,479,2.8,False
687.5,634268249201875000,134,476,2.8,1,1,141,474,2.8,1,1,127,479,2.8,False
703.125,634268249202031250,132,476,2.8,1,1,139,474,2.8,1,1,126,479,2.8,False
734.375,634268249202343750,132,476,2.8,1,1,139,474,2.8,1,1,126,479,2.8,False
750,634268249202500000,132,487,2.8,1,1,139,495,2.8,1,1,126,479,2.8,False
765.625,634268249202656250,133,488,2.8,1,1,141,495,2.8,1,1,126,482,2.8,False
796.875,634268249202968750,131,482,2.8,1,1,141,495,2.8,1,1,121,470,2.8,False
812.5,634268249203125000,132,476,2.8,1,1,138,470,2.8,1,1,126,482,2.8,False
828.125,634268249203281250,136,475,2.8,1,1,142,469,2.8,1,1,130,482,2.8,False
859.375,634268249203593750,141,472,2.8,1,1,143,463,2.8,1,1,139,482,2.8,False
875,634268249203750000,144,462,2.8,1,1,149,455,2.8,1,1,139,470,2.8,False
890.625,634268249203906250,148,456,2.8,1,1,156,443,2.8,1,1,140,470,2.8,False
921.875,634268249204218750,202,414,2.8,1,1,209,423,2.8,1,1,196,405,2.8,False
937.5,634268249204375000,234,401,2.8,1,1,240,418,2.8,1,1,229,385,2.8,False
953.125,634268249204531250,240,392,2.8,1,1,247,412,2.8,1,1,233,373,2.8,False
984.375,634268249204843750,244,387,2.8,1,1,247,410,2.8,1,1,241,365,2.8,False
1000,634268249205000000,244,381,2.8,1,1,248,410,2.8,1,1,241,353,2.8,False
1015.625,634268249205156250,246,380,2.8,1,1,250,408,2.8,1,1,242,353,2.8,False
1046.875,634268249205468750,246,380,2.8,1,1,250,408,2.8,1,1,243,353,2.8,False
1062.5,634268249205625000,246,380,2.8,1,1,250,407,2.8,1,1,242,353,2.8,False
1078.125,634268249205781250,245,381,2.8,1,1,248,407,2.8,1,1,242,356,2.8,False
1109.375,634268249206093750,244,392,2.8,1,1,247,408,2.8,1,1,241,377,2.8,False
1125,634268249206250000,243,396,2.8,1,1,245,408,2.8,1,1,241,385,2.8,False
1140.625,634268249206406250,233,396,2.8,1,1,226,407,2.8,1,1,241,385,2.8,False
1171.875,634268249206718750,153,404,2.8,1,1,155,407,2.8,1,1,151,402,2.8,False
1187.5,634268249206875000,140,414,2.8,1,1,141,408,2.8,1,1,140,421,2.8,False
1203.125,634268249207031250,136,427,2.8,1,1,141,432,2.8,1,1,132,422,2.8,False
1234.375,634268249207343750,136,439,2.8,1,1,141,450,2.8,1,1,132,429,2.8,False
1250,634268249207500000,135,441,2.8,1,1,139,453,2.8,1,1,132,429,2.8,False
1265.625,634268249207656250,134,441,2.8,1,1,139,453,2.8,1,1,130,429,2.8,False
1296.875,634268249207968750,134,447,2.8,1,1,138,457,2.8,1,1,130,437,2.8,False
1312.5,634268249208125000,134,451,2.8,1,1,138,462,2.8,1,1,130,441,2.8,False
1328.125,634268249208281250,132,457,2.8,1,1,136,465,2.8,1,1,128,449,2.8,False
1359.375,634268249208593750,132,470,2.8,1,1,136,469,2.8,1,1,128,472,2.8,False
1375,634268249208750000,131,473,2.8,1,1,136,469,2.8,1,1,126,477,2.8,False
1390.625,634268249208906250,109,473,2.8,1,1,110,469,2.8,1,1,109,477,2.8,False
1421.875,634268249209218750,101,477,2.8,1,1,109,469,2.8,1,1,94,486,2.8,False
1437.5,634268249209375000,99,482,2.8,1,1,107,469,2.8,1,1,92,496,2.8,False
1453.125,634268249209531250,98,484,2.8,1,1,105,473,2.8,1,1,92,496,2.8,False
1484.375,634268249209843750,98,497,2.8,1,1,105,499,2.8,1,1,92,496,2.8,False
1500,634268249210000000,98,484,2.8,1,1,104,473,2.8,1,1,92,496,2.8,False
1515.625,634268249210156250,98,484,2.8,1,1,105,473,2.8,1,1,92,495,2.8,False
1546.875,634268249210468750,-9999,-9999,2.8,1,1,105,505,2.8,1,0,92,495,2.8,True
1562.5,634268249210625000,103,500,2.8,1,1,105,505,2.8,1,1,101,495,2.8,False
1578.125,634268249210781250,102,501,2.8,1,1,104,505,2.8,1,1,101,498,2.8,False
1609.375,634268249211093750,102,505,3.1,1,1,103,510,2.8,1,1,101,500,3.4,False
1625,634268249211250000,-9999,-9999,3.1,1,1,101,532,2.8,1,0,101,500,3.4,True
1656.25,634268249211562500,-9999,-9999,3.1,1,1,100,534,2.8,1,0,101,500,3.4,True
1671.875,634268249211718750,95,533,3.1,1,1,98,534,2.8,1,1,92,532,3.4,False
1687.5,634268249211875000,-9999,-9999,3.1,1,1,77,534,2.8,1,0,92,532,3.4,True
1703.125,634268249212031250,83,539,2.8,1,1,77,534,2.8,1,1,90,545,2.8,False
1734.375,634268249212343750,82,541,2.8,1,1,76,534,2.8,1,1,88,548,2.8,False
1750,634268249212500000,78,541,2.8,1,1,75,534,2.8,1,1,82,548,2.8,False
1765.625,634268249212656250,-9999,-9999,2.8,1,1,75,548,2.8,1,0,82,548,2.8,True
1796.875,634268249212968750,-9999,-9999,2.8,1,1,76,548,2.8,1,0,82,548,2.8,True
1812.5,634268249213125000,78,557,2.8,1,1,76,559,2.8,1,1,80,556,2.8,False
1828.125,634268249213281250,78,559,2.8,1,1,76,559,2.8,1,1,81,559,2.8,False
1859.375,634268249213593750,77,564,2.8,1,1,74,564,2.8,1,1,81,565,2.8,False
1875,634268249213750000,77,560,2.8,1,1,74,564,2.8,1,1,80,556,2.8,False
1890.625,634268249213906250,78,565,2.8,1,1,75,565,2.8,1,1,81,565,2.8,False
1921.875,634268249214218750,77,567,2.8,1,1,74,565,2.8,1,1,81,569,2.8,False
