Time[msec],Time[Ticks],GazeX,GazeY,Diameter,LCalib,LFound,LX,LY,LD,RCalib,RFound,RX,RY,RD,Lost
15.625,634256104472968750,768,538,2.5,1,1,777,529,2.8,1,1,760,547,2.2,False
46.875,634256104473281250,768,538,2.5,1,1,777,529,2.8,1,1,760,547,2.2,False
62.5,634256104473437500,768,538,2.5,1,1,777,529,2.8,1,1,760,547,2.2,False
78.125,634256104473593750,768,553,2.5,1,1,777,538,2.8,1,1,760,569,2.2,False
93.75,634256104473750000,777,557,2.5,1,1,777,542,2.8,1,1,777,572,2.2,False
125,634256104474062500,776,556,2.8,1,1,776,544,2.8,1,1,777,569,2.8,False
140.625,634256104474218750,776,557,2.8,1,1,776,546,2.8,1,1,777,569,2.8,False
156.25,634256104474375000,776,557,2.8,1,1,776,546,2.8,1,1,777,569,2.8,False
187.5,634256104474687500,776,555,2.5,1,1,775,546,2.8,1,1,778,564,2.2,False
203.125,634256104474843750,776,559,2.5,1,1,774,546,2.8,1,1,779,572,2.2,False
234.375,634256104475156250,775,559,2.5,1,1,772,546,2.8,1,1,779,572,2.2,False
250,634256104475312500,776,557,2.5,1,1,774,546,2.8,1,1,779,568,2.2,False
265.625,634256104475468750,776,553,2.5,1,1,774,540,2.8,1,1,779,566,2.2,False
281.25,634256104475625000,776,551,2.5,1,1,774,537,2.8,1,1,779,566,2.2,False
312.5,634256104475937500,776,549,2.8,1,1,774,534,2.8,1,1,779,564,2.8,False
328.125,634256104476093750,776,550,2.5,1,1,774,534,2.8,1,1,779,566,2.2,False
343.75,634256104476250000,776,550,2.5,1,1,774,534,2.8,1,1,779,566,2.2,False
375,634256104476562500,776,550,2.5,1,1,774,534,2.8,1,1,779,566,2.2,False
390.625,634256104476718750,778,550,2.5,1,1,776,535,2.8,1,1,780,566,2.2,False
421.875,634256104477031250,778,550,2.5,1,1,776,535,2.8,1,1,780,566,2.2,False
437.5,634256104477187500,-9999,-9999,2.2,1,1,778,536,2.2,1,0,780,566,2.2,True
562.5,634256104478437500,-9999,-9999,2.5,1,1,778,536,2.8,1,0,780,566,2.2,True
