Time[msec],Time[Ticks],GazeX,GazeY,Diameter,LCalib,LFound,LX,LY,LD,RCalib,RFound,RX,RY,RD,Lost
31.25,634268263933750000,542,573,2.8,1,1,542,578,2.8,1,1,543,569,2.8,False
46.875,634268263933906250,544,572,2.8,1,1,544,575,2.8,1,1,545,569,2.8,False
62.5,634268263934062500,544,568,2.8,1,1,544,569,2.8,1,1,545,568,2.8,False
78.125,634268263934218750,-9999,-9999,2.8,1,1,544,569,2.8,1,0,545,568,2.8,True
109.375,634268263934531250,543,565,2.8,1,1,542,565,2.8,1,1,545,565,2.8,False
125,634268263934687500,-9999,-9999,2.8,1,0,542,565,2.8,1,1,545,563,2.8,True
140.625,634268263934843750,-9999,-9999,2.8,1,0,542,565,2.8,1,1,545,563,2.8,True
171.875,634268263935156250,-9999,-9999,2.8,1,1,542,565,2.8,1,0,545,563,2.8,True
187.5,634268263935312500,-9999,-9999,2.8,1,0,542,565,2.8,1,0,545,563,2.8,True
203.125,634268263935468750,542,558,2.8,1,1,542,565,2.8,1,1,543,552,2.8,False
234.375,634268263935781250,-9999,-9999,2.8,1,0,542,565,2.8,1,1,542,552,2.8,True
250,634268263935937500,-9999,-9999,2.8,1,0,542,565,2.8,1,0,542,552,2.8,True
265.625,634268263936093750,-9999,-9999,2.8,1,0,542,565,2.8,1,0,542,552,2.8,True
296.875,634268263936406250,-9999,-9999,2.8,1,0,542,565,2.8,1,0,542,552,2.8,True
312.5,634268263936562500,442,565,2.8,1,1,442,565,2.8,1,1,442,565,2.8,False
328.125,634268263936718750,-9999,-9999,2.8,1,0,442,565,2.8,1,0,442,565,2.8,True
359.375,634268263937031250,-9999,-9999,2.8,1,0,442,565,2.8,1,0,442,565,2.8,True
375,634268263937187500,-9999,-9999,2.8,1,0,442,565,2.8,1,0,442,565,2.8,True
390.625,634268263937343750,-9999,-9999,2.8,1,0,442,565,2.8,1,0,442,565,2.8,True
421.875,634268263937656250,-9999,-9999,2.8,1,0,442,565,2.8,1,0,442,565,2.8,True
437.5,634268263937812500,-9999,-9999,2.8,1,0,442,565,2.8,1,0,442,565,2.8,True
453.125,634268263937968750,-9999,-9999,2.8,1,1,290,565,2.8,1,0,442,565,2.8,True
484.375,634268263938281250,285,545,2.8,1,1,290,565,2.8,1,1,281,525,2.8,False
500,634268263938437500,285,542,2.8,1,1,290,565,2.8,1,1,281,519,2.8,False
515.625,634268263938593750,-9999,-9999,2.8,1,1,290,547,2.8,1,0,281,519,2.8,True
546.875,634268263938906250,-9999,-9999,2.8,1,0,290,547,2.8,1,0,281,519,2.8,True
