Time[msec],Time[Ticks],GazeX,GazeY,Diameter,LCalib,LFound,LX,LY,LD,RCalib,RFound,RX,RY,RD,Lost
125,634254377903627500,642,458,2.8,1,1,641,477,2.8,1,1,643,439,2.8,False
250,634254377904877500,641,459,2.8,1,1,640,477,2.8,1,1,643,441,2.8,False
468.75,634254377907065000,641,457,2.8,1,1,640,476,2.8,1,1,642,439,2.8,False
578.125,634254377908158750,641,457,2.8,1,1,641,476,2.8,1,1,642,439,2.8,False
703.125,634254377909408750,640,457,3.1,1,1,641,476,3.4,1,1,640,439,2.8,False
828.125,634254377910658750,640,457,3.1,1,1,641,476,3.4,1,1,640,438,2.8,False
843.75,634254377910815000,641,456,3.1,1,1,641,476,3.4,1,1,642,437,2.8,False
953.125,634254377911908750,640,454,2.8,1,1,641,476,2.8,1,1,640,433,2.8,False
1062.5,634254377913002500,640,454,2.8,1,1,641,476,2.8,1,1,640,433,2.8,False
1187.5,634254377914252500,640,454,3.1,1,1,640,476,2.8,1,1,640,433,3.4,False
1296.875,634254377915346250,638,455,3.1,1,1,638,478,3.4,1,1,639,433,2.8,False
1406.25,634254377916440000,636,457,3.1,1,1,634,482,3.4,1,1,639,433,2.8,False
1531.25,634254377917690000,635,458,3.1,1,1,633,484,3.4,1,1,638,433,2.8,False
1750,634254377919877500,636,458,2.8,1,1,633,484,2.8,1,1,639,433,2.8,False
1859.375,634254377920971250,640,458,3.1,1,1,640,484,3.4,1,1,640,433,2.8,False
1984.375,634254377922221250,644,458,3.1,1,1,649,484,3.4,1,1,640,433,2.8,False
2093.75,634254377923315000,643,457,2.8,1,1,646,484,2.8,1,1,640,431,2.8,False
2203.125,634254377924408750,648,457,2.8,1,1,646,484,2.8,1,1,651,431,2.8,False
2453.125,634254377926908750,-9999,-9999,2.8,1,0,646,484,2.8,1,1,651,423,2.8,True
2671.875,634254377929096250,651,449,2.8,1,1,650,477,2.8,1,1,653,421,2.8,False
2796.875,634254377930346250,651,442,2.8,1,1,650,465,2.8,1,1,653,420,2.8,False
2921.875,634254377931596250,652,438,2.8,1,1,651,459,2.8,1,1,653,417,2.8,False
3046.875,634254377932846250,653,438,3.1,1,1,653,459,3.4,1,1,654,417,2.8,False
3156.25,634254377933940000,654,438,3.1,1,1,654,459,3.4,1,1,654,417,2.8,False
3265.625,634254377935033750,654,438,3.1,1,1,654,459,3.4,1,1,654,417,2.8,False
3390.625,634254377936283750,657,439,3.1,1,1,656,459,3.4,1,1,658,420,2.8,False
3515.625,634254377937533750,665,450,3.1,1,1,667,478,3.4,1,1,664,423,2.8,False
