Time[msec],Time[Ticks],GazeX,GazeY,Diameter,LCalib,LFound,LX,LY,LD,RCalib,RFound,RX,RY,RD,Lost
31.25,634256015797031250,393,569,2.8,1,1,384,563,2.8,1,1,402,576,2.8,False
46.875,634256015797187500,353,566,2.8,1,1,349,563,2.8,1,1,358,569,2.8,False
62.5,634256015797343750,351,568,2.8,1,1,349,563,2.8,1,1,354,574,2.8,False
93.75,634256015797656250,347,568,2.8,1,1,342,563,2.8,1,1,352,574,2.8,False
109.375,634256015797812500,346,566,2.8,1,1,341,563,2.8,1,1,351,569,2.8,False
125,634256015797968750,345,569,2.8,1,1,341,572,2.8,1,1,349,567,2.8,False
156.25,634256015798281250,345,578,2.8,1,1,341,590,2.8,1,1,349,567,2.8,False
171.875,634256015798437500,345,577,2.8,1,1,341,590,2.8,1,1,349,564,2.8,False
203.125,634256015798750000,-9999,-9999,2.8,1,1,154,533,2.8,1,0,349,564,2.8,True
218.75,634256015798906250,344,575,2.8,1,1,340,590,2.8,1,1,349,560,2.8,False
234.375,634256015799062500,-9999,-9999,2.8,1,1,151,557,2.8,1,0,349,560,2.8,True
265.625,634256015799375000,344,570,2.8,1,1,339,590,2.8,1,1,349,551,2.8,False
281.25,634256015799531250,338,561,2.8,1,1,335,572,2.8,1,1,342,551,2.8,False
296.875,634256015799687500,-9999,-9999,2.8,1,1,128,537,2.8,1,0,342,551,2.8,True
328.125,634256015800000000,-9999,-9999,2.8,1,1,143,469,2.8,1,0,342,551,2.8,True
343.75,634256015800156250,-9999,-9999,2.8,1,1,158,523,2.8,1,0,342,551,2.8,True
359.375,634256015800312500,333,553,2.8,1,1,332,559,2.8,1,1,335,547,2.8,False
375,634256015800468750,-9999,-9999,2.8,1,1,151,541,2.8,1,0,335,547,2.8,True
406.25,634256015800781250,176,541,2.5,1,1,172,553,2.8,1,1,180,530,2.2,False
421.875,634256015800937500,146,536,2.5,1,1,153,553,2.8,1,1,140,520,2.2,False
437.5,634256015801093750,144,534,2.5,1,1,151,548,2.8,1,1,138,520,2.2,False
468.75,634256015801406250,140,496,2.5,1,1,149,541,2.8,1,1,132,451,2.2,False
484.375,634256015801562500,138,489,2.8,1,1,146,533,2.8,1,1,131,446,2.8,False
500,634256015801718750,137,474,2.8,1,1,145,502,2.8,1,1,130,446,2.8,False
531.25,634256015802031250,-9999,-9999,2.8,1,1,121,469,2.8,1,0,130,446,2.8,True
546.875,634256015802187500,137,474,2.8,1,1,145,502,2.8,1,1,129,446,2.8,False
562.5,634256015802343750,137,471,2.8,1,1,145,497,2.8,1,1,129,446,2.8,False
593.75,634256015802656250,134,474,2.8,1,1,140,497,2.8,1,1,129,451,2.8,False
609.375,634256015802812500,128,474,2.8,1,1,135,497,2.8,1,1,121,451,2.8,False
625,634256015802968750,126,477,2.8,1,1,135,497,2.8,1,1,117,457,2.8,False
