Time[msec],Time[Ticks],GazeX,GazeY,Diameter,LCalib,LFound,LX,LY,LD,RCalib,RFound,RX,RY,RD,Lost
31.25,634255119694687500,506,959,2.8,1,1,544,1569,2.8,1,1,469,1561,2.8,False
46.875,634255119694843750,506,959,2.8,1,1,544,1567,2.8,1,1,469,1561,2.8,False
62.5,634255119695000000,506,959,2.8,1,1,544,1567,2.8,1,1,469,1561,2.8,False
93.75,634255119695312500,-9999,-9999,2.8,1,1,544,1567,2.8,1,0,469,1561,2.8,True
109.375,634255119695468750,507,959,2.5,1,1,543,1564,2.2,1,1,472,1560,2.8,False
125,634255119695625000,521,959,2.8,1,1,543,1564,2.8,1,1,499,1558,2.8,False
140.625,634255119695781250,523,959,2.8,1,1,533,1343,2.8,1,1,514,1348,2.8,False
171.875,634255119696093750,520,959,2.8,1,1,523,1050,2.8,1,1,518,1040,2.8,False
187.5,634255119696250000,538,757,2.8,1,1,523,757,2.8,1,1,553,757,2.8,False
218.75,634255119696562500,538,613,2.8,1,1,523,596,2.8,1,1,553,630,2.8,False
234.375,634255119696718750,538,592,2.8,1,1,523,587,2.8,1,1,553,598,2.8,False
250,634255119696875000,543,574,2.8,1,1,533,564,2.8,1,1,553,585,2.8,False
265.625,634255119697031250,543,573,2.8,1,1,534,564,2.8,1,1,553,583,2.8,False
296.875,634255119697343750,544,569,2.8,1,1,536,564,2.8,1,1,553,574,2.8,False
312.5,634255119697500000,544,565,2.8,1,1,537,564,2.8,1,1,552,566,2.8,False
343.75,634255119697812500,544,570,2.8,1,1,538,567,2.8,1,1,551,574,2.8,False
359.375,634255119697968750,544,570,2.5,1,1,538,567,2.2,1,1,551,574,2.8,False
375,634255119698125000,544,560,2.5,1,1,539,554,2.8,1,1,550,566,2.2,False
390.625,634255119698281250,545,556,2.8,1,1,540,546,2.8,1,1,550,566,2.8,False
421.875,634255119698593750,545,558,2.5,1,1,541,554,2.2,1,1,549,562,2.8,False
437.5,634255119698750000,-9999,-9999,2.5,1,1,541,538,2.2,1,0,549,562,2.8,True
468.75,634255119699062500,545,554,2.2,1,1,541,551,2.2,1,1,549,558,2.2,False
484.375,634255119699218750,544,548,2.2,1,1,541,538,2.2,1,1,548,558,2.2,False
500,634255119699375000,-9999,-9999,2.2,1,1,542,538,2.2,1,0,548,558,2.2,True
515.625,634255119699531250,544,543,2.8,1,1,542,538,2.8,1,1,547,548,2.8,False
546.875,634255119699843750,545,542,2.5,1,1,545,538,2.8,1,1,546,546,2.2,False
562.5,634255119700000000,546,538,2.2,1,1,545,538,2.2,1,1,548,539,2.2,False
578.125,634255119700156250,546,538,2.5,1,1,545,538,2.8,1,1,548,539,2.2,False
609.375,634255119700468750,546,538,2.2,1,1,545,538,2.2,1,1,548,539,2.2,False
625,634255119700625000,547,538,2.2,1,1,545,538,2.2,1,1,549,539,2.2,False
656.25,634255119700937500,547,540,2.2,1,1,545,538,2.2,1,1,549,543,2.2,False
671.875,634255119701093750,547,542,2.2,1,1,545,538,2.2,1,1,549,546,2.2,False
687.5,634255119701250000,552,596,2.2,1,1,548,607,2.2,1,1,556,586,2.2,False
718.75,634255119701562500,553,782,2.2,1,1,549,791,2.2,1,1,558,773,2.2,False
734.375,634255119701718750,-9999,-9999,2.2,1,1,553,814,2.2,1,0,558,773,2.2,True
750,634255119701875000,556,813,2.2,1,1,553,815,2.2,1,1,559,811,2.2,False
781.25,634255119702187500,556,818,2.2,1,1,554,824,2.2,1,1,559,812,2.2,False
796.875,634255119702343750,557,821,2.2,1,1,554,825,2.2,1,1,560,817,2.2,False
812.5,634255119702500000,558,823,2.2,1,1,555,828,2.2,1,1,561,818,2.2,False
843.75,634255119702812500,557,828,2.2,1,1,554,837,2.2,1,1,560,819,2.2,False
859.375,634255119702968750,557,830,2.2,1,1,554,841,2.2,1,1,560,819,2.2,False
875,634255119703125000,557,837,2.2,1,1,554,846,2.2,1,1,560,828,2.2,False
906.25,634255119703437500,555,845,2.2,1,1,553,848,2.2,1,1,558,843,2.2,False
921.875,634255119703593750,553,959,2.5,1,1,553,1003,2.2,1,1,553,992,2.8,False
937.5,634255119703750000,412,959,2.5,1,1,399,1011,2.2,1,1,425,999,2.8,False
968.75,634255119704062500,381,959,2.5,1,1,380,1012,2.2,1,1,383,1003,2.8,False
984.375,634255119704218750,375,959,2.5,1,1,378,1013,2.2,1,1,373,1005,2.8,False
1000,634255119704375000,371,959,2.2,1,1,375,1013,2.2,1,1,368,1010,2.2,False
1031.25,634255119704687500,368,959,2.5,1,1,369,1013,2.2,1,1,368,1012,2.8,False
1046.875,634255119704843750,368,959,2.5,1,1,369,1012,2.2,1,1,368,1012,2.8,False
1062.5,634255119705000000,368,959,2.5,1,1,369,1012,2.2,1,1,368,1012,2.8,False
1093.75,634255119705312500,369,959,2.5,1,1,369,1011,2.2,1,1,370,1012,2.8,False
1109.375,634255119705468750,370,959,2.5,1,1,369,1009,2.2,1,1,371,1012,2.8,False
1125,634255119705625000,370,959,2.5,1,1,370,1009,2.2,1,1,371,1012,2.8,False
1156.25,634255119705937500,371,959,2.5,1,1,370,1008,2.8,1,1,373,1012,2.2,False
1171.875,634255119706093750,372,959,2.5,1,1,371,1006,2.8,1,1,374,1012,2.2,False
1187.5,634255119706250000,375,959,2.5,1,1,374,1006,2.8,1,1,377,1006,2.2,False
1218.75,634255119706562500,377,959,2.8,1,1,375,1002,2.8,1,1,379,1004,2.8,False
1234.375,634255119706718750,423,959,2.5,1,1,418,1000,2.2,1,1,428,1004,2.8,False
1250,634255119706875000,535,874,2.2,1,1,515,884,2.2,1,1,555,865,2.2,False
1265.625,634255119707031250,559,673,2.5,1,1,559,692,2.8,1,1,559,654,2.2,False
1296.875,634255119707343750,563,573,2.2,1,1,559,575,2.2,1,1,568,571,2.2,False
1312.5,634255119707500000,563,566,2.5,1,1,559,566,2.2,1,1,568,566,2.8,False
1343.75,634255119707812500,564,562,2.2,1,1,561,561,2.2,1,1,568,564,2.2,False
1359.375,634255119707968750,565,556,2.2,1,1,563,552,2.2,1,1,568,561,2.2,False
1375,634255119708125000,566,556,2.5,1,1,565,552,2.8,1,1,568,560,2.2,False
1406.25,634255119708437500,566,555,2.2,1,1,566,552,2.2,1,1,567,558,2.2,False
1421.875,634255119708593750,566,554,2.5,1,1,567,550,2.8,1,1,566,558,2.2,False
1437.5,634255119708750000,566,552,2.5,1,1,567,548,2.8,1,1,566,557,2.2,False
1453.125,634255119708906250,566,552,2.2,1,1,567,546,2.2,1,1,566,558,2.2,False
1484.375,634255119709218750,567,549,2.2,1,1,567,542,2.2,1,1,567,557,2.2,False
1500,634255119709375000,567,544,2.2,1,1,567,536,2.2,1,1,567,553,2.2,False
1515.625,634255119709531250,567,544,2.5,1,1,568,536,2.8,1,1,567,553,2.2,False
1546.875,634255119709843750,568,544,2.5,1,1,568,536,2.8,1,1,569,553,2.2,False
1562.5,634255119710000000,571,544,2.5,1,1,571,535,2.8,1,1,572,553,2.2,False
1578.125,634255119710156250,571,544,2.2,1,1,571,535,2.2,1,1,572,553,2.2,False
1609.375,634255119710468750,573,540,2.2,1,1,571,528,2.2,1,1,575,553,2.2,False
1625,634255119710625000,571,539,2.2,1,1,568,528,2.2,1,1,575,550,2.2,False
1640.625,634255119710781250,570,540,2.2,1,1,568,528,2.2,1,1,572,553,2.2,False
1671.875,634255119711093750,571,542,2.2,1,1,567,532,2.2,1,1,575,553,2.2,False
1687.5,634255119711250000,569,543,2.2,1,1,567,532,2.2,1,1,572,554,2.2,False
1703.125,634255119711406250,569,543,2.2,1,1,567,532,2.2,1,1,571,554,2.2,False
1734.375,634255119711718750,568,541,2.2,1,1,566,528,2.2,1,1,571,554,2.2,False
1750,634255119711875000,568,539,2.2,1,1,566,524,2.2,1,1,570,554,2.2,False
1765.625,634255119712031250,565,537,2.2,1,1,564,524,2.2,1,1,567,550,2.2,False
1796.875,634255119712343750,564,534,2.2,1,1,562,519,2.2,1,1,567,549,2.2,False
1812.5,634255119712500000,519,404,2.5,1,1,514,401,2.8,1,1,525,408,2.2,False
1828.125,634255119712656250,492,274,2.2,1,1,479,259,2.2,1,1,506,290,2.2,False
1859.375,634255119712968750,472,213,2.5,1,1,454,190,2.2,1,1,490,237,2.8,False
1875,634255119713125000,437,121,2.5,1,1,419,108,2.2,1,1,455,134,2.8,False
1890.625,634255119713281250,427,89,2.5,1,1,419,82,2.2,1,1,436,97,2.8,False
1921.875,634255119713593750,423,80,2.5,1,1,416,65,2.2,1,1,431,96,2.8,False
1937.5,634255119713750000,423,74,2.5,1,1,415,65,2.2,1,1,431,84,2.8,False
1953.125,634255119713906250,423,74,2.5,1,1,415,65,2.2,1,1,431,84,2.8,False
1984.375,634255119714218750,423,74,2.5,1,1,415,65,2.2,1,1,431,84,2.8,False
2000,634255119714375000,423,80,2.5,1,1,416,65,2.2,1,1,431,96,2.8,False
2015.625,634255119714531250,425,89,2.5,1,1,419,82,2.2,1,1,432,97,2.8,False
2046.875,634255119714843750,440,208,2.5,1,1,430,207,2.2,1,1,450,209,2.8,False
2062.5,634255119715000000,466,308,2.5,1,1,453,297,2.2,1,1,480,320,2.8,False
2078.125,634255119715156250,471,313,2.5,1,1,461,305,2.2,1,1,481,322,2.8,False
2109.375,634255119715468750,473,318,2.5,1,1,461,312,2.2,1,1,486,325,2.8,False
2125,634255119715625000,474,320,2.5,1,1,462,316,2.2,1,1,486,325,2.8,False
2140.625,634255119715781250,475,320,2.5,1,1,462,316,2.2,1,1,488,325,2.8,False
2171.875,634255119716093750,475,321,2.5,1,1,462,317,2.2,1,1,488,325,2.8,False
2187.5,634255119716250000,474,321,2.5,1,1,462,317,2.2,1,1,486,325,2.8,False
2203.125,634255119716406250,474,325,2.5,1,1,462,319,2.2,1,1,486,332,2.8,False
2234.375,634255119716718750,473,328,2.5,1,1,461,324,2.2,1,1,486,332,2.8,False
