Time[msec],Time[Ticks],GazeX,GazeY,Diameter,LCalib,LFound,LX,LY,LD,RCalib,RFound,RX,RY,RD,Lost
15.625,634251729908593750,682,504,2.2,1,1,679,512,2.2,1,1,686,496,2.2,False
15.625,634251729908593750,642,494,2.2,1,1,625,510,2.2,1,1,659,478,2.2,False
46.875,634251729908906250,560,478,2.2,1,1,543,494,2.2,1,1,578,463,2.2,False
62.5,634251729909062500,459,471,2.2,1,1,449,483,2.2,1,1,470,460,2.2,False
78.125,634251729909218750,425,470,2.2,1,1,433,483,2.2,1,1,418,457,2.2,False
109.375,634251729909531250,424,469,2.2,1,1,433,482,2.2,1,1,415,457,2.2,False
125,634251729909687500,422,468,2.2,1,1,430,480,2.2,1,1,415,456,2.2,False
140.625,634251729909843750,421,468,2.2,1,1,429,480,2.2,1,1,414,457,2.2,False
171.875,634251729910156250,421,465,2.2,1,1,429,475,2.2,1,1,413,456,2.2,False
187.5,634251729910312500,421,464,2.2,1,1,429,475,2.2,1,1,413,453,2.2,False
203.125,634251729910468750,420,462,2.2,1,1,428,474,2.2,1,1,413,451,2.2,False
234.375,634251729910781250,418,461,2.2,1,1,426,472,2.2,1,1,411,451,2.2,False
250,634251729910937500,416,460,2.2,1,1,426,470,2.2,1,1,407,451,2.2,False
265.625,634251729911093750,382,442,2.2,1,1,386,460,2.2,1,1,378,425,2.2,False
296.875,634251729911406250,372,433,2.2,1,1,379,456,2.2,1,1,365,411,2.2,False
312.5,634251729911562500,370,426,2.2,1,1,378,446,2.2,1,1,362,407,2.2,False
328.125,634251729911718750,368,419,2.2,1,1,375,431,2.2,1,1,362,407,2.2,False
359.375,634251729912031250,367,417,2.2,1,1,373,429,2.2,1,1,362,405,2.2,False
375,634251729912187500,367,415,2.2,1,1,373,425,2.2,1,1,362,405,2.2,False
390.625,634251729912343750,367,416,2.2,1,1,373,427,2.2,1,1,361,405,2.2,False
421.875,634251729912656250,366,415,2.2,1,1,373,425,2.2,1,1,360,405,2.2,False
437.5,634251729912812500,366,415,2.2,1,1,373,425,2.2,1,1,360,405,2.2,False
453.125,634251729912968750,366,415,2.2,1,1,372,425,2.2,1,1,360,405,2.2,False
484.375,634251729913281250,366,418,2.2,1,1,372,427,2.2,1,1,360,409,2.2,False
500,634251729913437500,363,424,2.2,1,1,370,429,2.2,1,1,356,419,2.2,False
515.625,634251729913593750,361,425,2.2,1,1,367,430,2.2,1,1,355,421,2.2,False
546.875,634251729913906250,328,427,2.2,1,1,334,434,2.2,1,1,322,421,2.2,False
562.5,634251729914062500,326,427,2.2,1,1,331,434,2.2,1,1,321,421,2.2,False
578.125,634251729914218750,325,429,2.2,1,1,331,436,2.2,1,1,319,422,2.2,False
609.375,634251729914531250,323,429,2.2,1,1,328,436,2.2,1,1,318,422,2.2,False
625,634251729914687500,322,429,2.2,1,1,327,436,2.2,1,1,318,422,2.2,False
640.625,634251729914843750,323,429,2.2,1,1,328,436,2.2,1,1,318,422,2.2,False
671.875,634251729915156250,323,431,2.2,1,1,328,438,2.2,1,1,318,424,2.2,False
687.5,634251729915312500,322,431,2.2,1,1,327,438,2.2,1,1,317,424,2.2,False
703.125,634251729915468750,322,432,2.2,1,1,327,438,2.2,1,1,317,426,2.2,False
734.375,634251729915781250,322,432,2.2,1,1,327,439,2.2,1,1,317,426,2.2,False
750,634251729915937500,321,436,2.2,1,1,326,439,2.2,1,1,317,434,2.2,False
765.625,634251729916093750,321,487,2.2,1,1,326,493,2.2,1,1,316,482,2.2,False
796.875,634251729916406250,318,491,2.2,1,1,326,496,2.2,1,1,310,487,2.2,False
812.5,634251729916562500,318,491,2.2,1,1,326,496,2.2,1,1,310,487,2.2,False
828.125,634251729916718750,315,492,2.2,1,1,321,496,2.2,1,1,309,489,2.2,False
859.375,634251729917031250,315,494,2.2,1,1,321,499,2.2,1,1,309,489,2.2,False
875,634251729917187500,314,495,2.2,1,1,321,501,2.2,1,1,308,489,2.2,False
890.625,634251729917343750,313,495,2.2,1,1,321,501,2.2,1,1,306,489,2.2,False
921.875,634251729917656250,313,495,2.2,1,1,321,501,2.2,1,1,306,489,2.2,False
937.5,634251729917812500,313,496,2.2,1,1,321,501,2.2,1,1,306,491,2.2,False
953.125,634251729917968750,315,497,2.2,1,1,322,501,2.2,1,1,308,494,2.2,False
984.375,634251729918281250,315,496,2.2,1,1,322,502,2.2,1,1,308,491,2.2,False
1000,634251729918437500,315,499,2.2,1,1,323,504,2.2,1,1,308,494,2.2,False
1015.625,634251729918593750,318,503,2.2,1,1,324,512,2.2,1,1,312,495,2.2,False
1046.875,634251729918906250,461,504,2.2,1,1,465,513,2.2,1,1,458,496,2.2,False
1062.5,634251729919062500,638,507,2.2,1,1,632,515,2.2,1,1,645,499,2.2,False
1078.125,634251729919218750,824,539,2.2,1,1,811,543,2.2,1,1,837,535,2.2,False
1109.375,634251729919531250,984,575,2.2,1,1,979,582,2.2,1,1,989,568,2.2,False
1125,634251729919687500,990,575,2.2,1,1,988,582,2.2,1,1,992,569,2.2,False
1140.625,634251729919843750,1000,580,2.2,1,1,1006,585,2.2,1,1,994,576,2.2,False
1171.875,634251729920156250,1002,580,2.2,1,1,1009,585,2.2,1,1,995,576,2.2,False
1187.5,634251729920312500,1004,580,2.2,1,1,1013,585,2.2,1,1,996,576,2.2,False
1203.125,634251729920468750,1006,581,2.2,1,1,1014,586,2.2,1,1,998,576,2.2,False
1234.375,634251729920781250,1007,581,2.2,1,1,1014,589,2.2,1,1,1000,574,2.2,False
1250,634251729920937500,1008,582,2.2,1,1,1016,589,2.2,1,1,1000,576,2.2,False
1265.625,634251729921093750,1009,582,2.2,1,1,1017,589,2.2,1,1,1001,576,2.2,False
1296.875,634251729921406250,1012,582,2.2,1,1,1018,589,2.2,1,1,1007,576,2.2,False
1312.5,634251729921562500,1016,581,2.2,1,1,1023,589,2.2,1,1,1009,574,2.2,False
1328.125,634251729921718750,1096,581,2.2,1,1,1102,589,2.2,1,1,1091,574,2.2,False
1359.375,634251729922031250,1101,579,2.2,1,1,1105,584,2.2,1,1,1098,574,2.2,False
1375,634251729922187500,1103,582,2.2,1,1,1106,588,2.2,1,1,1100,576,2.2,False
1390.625,634251729922343750,1103,583,2.2,1,1,1107,591,2.2,1,1,1100,576,2.2,False
1421.875,634251729922656250,1105,583,2.2,1,1,1108,591,2.2,1,1,1102,576,2.2,False
1437.5,634251729922812500,1106,585,2.2,1,1,1109,594,2.2,1,1,1103,577,2.2,False
1453.125,634251729922968750,1106,585,2.2,1,1,1109,594,2.2,1,1,1103,576,2.2,False
1484.375,634251729923281250,1105,580,2.2,1,1,1109,588,2.2,1,1,1102,572,2.2,False
1500,634251729923437500,1104,578,2.2,1,1,1108,588,2.2,1,1,1100,568,2.2,False
1515.625,634251729923593750,1104,566,2.2,1,1,1108,585,2.2,1,1,1100,547,2.2,False
1546.875,634251729923906250,1103,565,2.2,1,1,1108,585,2.2,1,1,1098,546,2.2,False
